logTime,startlat,startlon,ACType,AC_role,ttland,hrstart,distapt,flightLevel,emitterCat,airGroundVector_groundSpeed,calculated_time
08-Jul-2024 18:00:00,36.6256254538894,-121.359157674015,E175,PAX,43.7460853474935,18,216.655205191061,340.5,3,415.0634765625,31.318853730813
10-Jul-2024 01:00:00,36.569622438401,-121.411431580782,E175,PAX,42.9819912109375,1,215.937732500643,281.5,3,413.525390625,31.3312416692395
10-Jul-2024 15:00:00,37.7976238913834,-119.451599121094,E175,PAX,49.2130676025391,15,236.638400010928,350,3,417.48046875,34.0095047875355
12-Jul-2024 02:00:00,37.1174468658864,-120.829389877617,E175,PAX,42.4946097371419,2,224.333570475842,370,3,455.0537109375,29.5789571758908
18-Jul-2024 00:00:00,36.63758860901,-121.357201170176,E175,PAX,40.5042199584961,0,217.100161600537,300.5,3,420.3369140625,30.9894497966823
18-Jul-2024 04:00:00,36.63614558056,-121.348435543478,E175,PAX,41.223973832194,4,216.741701097193,279.25,3,412.20703125,31.5484721995062
20-Jul-2024 13:00:00,36.6421973146498,-121.341481413692,E175,PAX,42.0546019816081,13,216.777378892449,269.25,3,407.373046875,31.9280885991898
24-Jul-2024 22:00:00,36.7960967682302,-121.203517969698,E175,PAX,44.6314602945964,22,219.335208549432,212.25,3,371.5576171875,35.4187665767188
25-Jul-2024 02:00:00,36.7940825968981,-121.201458033174,E175,PAX,40.9937842244466,2,219.179414538907,214,3,370.2392578125,35.5196392463447
07-Jul-2024 13:00:00,33.9552952721715,-114.408874511719,B737-700,PAX,33.0650632364909,13,199.478404857328,380,3,439.6728515625,27.2218406228758
30-Jul-2024 14:00:00,35.1445652917027,-114.591121729463,B737-700,PAX,34.4230659627279,14,202.299957409069,380,3,422.75390625,28.7117333869558
22-Jul-2024 05:00:00,35.3523744642735,-114.662553649396,B767-300,PAX,34.1796583170573,5,203.621405306461,379.75,5,459.4482421875,26.591209186522
30-Jul-2024 18:00:00,33.9686558581889,-114.486923273653,A321-200,PAX,34.0610073771159,18,195.537443559416,300,NaN,464.0625,25.2816088642477
02-Jul-2024 22:00:00,36.7923282645643,-121.199477221817,E175,PAX,44.8511711791992,22,219.031338624225,188.75,3,390.0146484375,33.6958633992422
03-Jul-2024 02:00:00,36.7947025224566,-121.202106960118,E175,PAX,40.4187810139974,2,219.217909954067,171.5,3,405.615234375,32.427466925672
05-Jul-2024 01:00:00,37.2216796875,-120.692352969199,E175,PAX,41.8272732055664,1,226.2298847079,390,3,435.05859375,31.1999194533184
05-Jul-2024 18:00:00,36.6529082134366,-121.341133229434,E175,PAX,41.3734282430013,18,217.240178921052,273.25,3,417.041015625,31.2545055448061
06-Jul-2024 14:00:00,37.7499078959227,-119.611199442297,E175,PAX,45.4983298461914,14,235.673867625425,350,3,444.0673828125,31.8429873591865
10-Jul-2024 18:00:00,36.6235764138401,-121.355915553868,E175,PAX,41.8958017944336,18,216.46280457444,350,3,423.8525390625,30.6421858488649
10-Jul-2024 23:00:00,36.7877197265625,-121.195035986602,E175,PAX,42.1067698852539,23,218.735701096207,350,3,425.390625,30.8519776752777
11-Jul-2024 04:00:00,36.640009470284,-121.345104575157,E175,PAX,43.4664492635091,4,216.801590402033,275.75,3,405.615234375,32.0700366300732
14-Jul-2024 04:00:00,37.2707061097026,-120.603176727891,E175,PAX,44.105631652832,4,226.657715268014,370,3,432.861328125,31.4175973515325
18-Jul-2024 17:00:00,36.7914904095232,-121.203042045236,E175,PAX,39.9958032470703,17,219.105463313495,202.25,3,390.4541015625,33.6693294966077
19-Jul-2024 22:00:00,36.7921421863139,-121.199301872402,E175,PAX,42.3793770467122,22,219.017652946546,190,3,353.1005859375,37.2161919298508
20-Jul-2024 02:00:00,36.7960967682302,-121.203575134277,E175,PAX,42.5078372355143,2,219.332059740541,192.5,3,382.32421875,34.4208473830366
21-Jul-2024 13:00:00,36.7907408997416,-121.198081970215,E175,PAX,40.6682881306966,13,218.919766765372,207.5,3,384.9609375,34.1208281838266
